INSEE,ratio_with_cover_crop
63001,0.035642304020367034
63002,0.6374045801526718
63003,0.7295696114305629
63004,0.24023062139654067
63005,0.026015616566514344
63006,0
63007,0.03546981953951462
63008,0.4968944099378882
63009,1
63010,0.7939471504931114
63011,0.13698436283874618
63012,0.07881895624844926
63013,0.05368204617782259
63014,0
63015,0.8633620689655174
63016,0.7937731196054254
63017,0.26467203682393553
63019,0.012520934683786586
63021,0.008800778174070127
63022,0.2554387237128354
63023,0.5647777543711818
63025,0.2843523997370151
63026,0.2140077821011673
63029,0.3828999341672153
63030,0.014007396235770509
63031,0.23440842520980748
63033,0.2225584594222834
63034,0.026993765686988906
63035,0.1237685318029651
63036,0.05843007978596341
63037,0.8675731599172333
63039,0.8605921241736131
63040,0.04080060629402775
63041,0.23583223505698114
63042,0.1006414510064145
63043,0.5654181631605952
63044,0.2944775891081536
63045,0.7628718535469108
63046,0.0695199275362319
63048,0.10659694288012872
63049,0.13607979184735475
63050,0.280662363177098
63051,0.23671138758646304
63052,0.02497632575757576
63054,0.044282981147488125
63055,0.4976686000227455
63056,0.7515133171912833
63058,0.6933459306249157
63059,0.14393068694191496
63060,0.36309523809523814
63061,0.034571603844318725
63062,1
63063,0.023364973401481172
63064,0.6327599102468213
63065,0.6347321192926894
63066,0.5821306115939718
63067,0.7320634920634921
63069,0.007269738921550035
63071,0.6865284974093264
63072,0.8226256983240224
63073,0.013114195691049987
63074,0.058534972165573504
63076,1
63079,0.573163610884036
63080,0.03736571695469407
63082,0.7306397306397305
63083,0.038461538461538464
63084,0.029824339694174144
63085,0.39691289966923926
63086,0.785633484162896
63087,0.27636363636363637
63088,1
63089,0.008442558471919076
63090,0.14690851082685888
63091,0.08409387222946545
63092,0.7909090909090909
63093,0.8440366972477064
63094,0.36242761353245956
63095,0.37169042769857435
63096,0.005849008917933351
63097,0.3561822125813449
63099,0
63100,0.4301844185171246
63101,0.4017443930224279
63102,0.8092896174863387
63103,0.097248636997591
63105,0.8804795803671788
63106,0.030877017390216442
63107,0.0014316745655608214
63108,0
63109,0.06614929785661493
63110,0.3264462809917355
63111,0.23282001924927814
63112,0.015130200538760854
63113,0.030934368439814633
63114,0.07959787108219987
63115,0.21420083184789068
63116,0.21183479663142804
63118,0.6408572665608314
63119,0.9484704600295788
63120,0
63121,0.09422011084718923
63124,0.1580069511375916
63125,0.6314852190430962
63126,0.005812845435486945
63128,0.6054530292592726
63130,0.453023136904001
63131,0.1977716571741921
63132,0.9010182947877114
63135,0.17052399559162407
63136,0.6873362445414848
63137,1
63138,0.7743150362489407
63139,0.7394643191608916
63140,0.658132530120482
63142,0.8969171483622352
63143,0.011393830992940123
63145,0.5735294117647058
63146,0.049642820167719225
63147,0.586912065439673
63148,0.025776276651933397
63149,0.0073919891989198926
63150,0.12714776632302405
63151,0.5608565737051793
63152,0.2135409327885022
63154,0.013047975177022834
63155,0.5367329299913569
63156,0.2569444444444445
63157,0.3060064935064935
63158,0
63159,0.3503575076608785
63160,0.2513204648036109
63161,0
63163,0.18890977443609022
63164,0.0683219361451497
63165,0.22194469223907226
63166,0
63167,0.022248947684906796
63168,0.08591845313156789
63170,0.22348519570996422
63171,0.44460107132788274
63174,1
63175,0.3678955453149001
63176,0.35666982024597915
63177,0.16512488436632747
63178,0.303546422639789
63179,1
63180,0.07460295539290153
63181,0.46289998454166026
63182,0
63184,0.10695187165775401
63185,0.036951599812038105
63186,0.6440645773979108
63187,0.627041657592633
63188,0
63191,0
63193,0.0922244002613647
63194,0.018593483905189983
63195,0.13828618819204735
63196,0.3791545477649451
63197,0.09621740727139184
63198,0.6349206349206349
63199,0.04279807799754162
63200,0.0011155615524367053
63201,0.11459055009006512
63202,0.22261439556283877
63203,0
63204,0.018575851393188854
63205,0.33308160268512693
63206,0.6262626262626263
63207,0.761826182618262
63208,0.46394485683987274
63209,0.0738585228295434
63210,0.10218453356420641
63211,0.8128408091468777
63212,0
63213,0.05225449605382326
63214,0.026730444569499155
63215,0
63216,1
63218,0.7403715450838242
63220,0.1307583987125327
63221,0.16099773242630383
63222,0.05767031530795622
63223,0.7874300162542894
63224,0.0028208744710860366
63225,0.2161832805264441
63226,0.01089789149490642
63227,0.08444934614778636
63228,0.3582584352438485
63229,0.08182417693907573
63230,1
63232,0.28596300326441787
63233,0.48050770625566636
63234,0.13491475166790215
63235,0.7400084139671855
63237,0.427862216451539
63238,0.4614443084455324
63239,0.0883219954648526
63240,0.05771907183886232
63241,0
63242,0.21757089798326915
63243,0.6339754816112084
63244,0.030395176789616403
63245,0.5676741130091985
63249,0.11629746835443038
63250,0
63251,0.35830981096570014
63252,0.6058042407367744
63253,0.186084142394822
63255,0.12190415941799779
63256,0.7615955473098329
63258,0.918625678119349
63259,0.15261756876663707
63260,0.5
63261,0.1890574814486654
63262,0.08772931686772788
63263,0
63265,0.555985145240881
63267,0.6836363636363636
63268,0.09586028460543339
63269,0.13447116627876907
63270,0.4365126676602087
63271,0.8301713385413249
63272,0
63273,0.05028096750549718
63275,0.13735837342852708
63276,0.42563930013458956
63277,1
63278,0
63280,0.07484184914841849
63281,0.7665312153675656
63282,0.042974574651118334
63283,0.5525245273988992
63284,0.023473876469528983
63286,0
63287,0.0474115299800483
63288,0.28695809903863595
63289,0.38960674157303365
63290,0
63291,0.5232798347370095
63292,0.40664556962025317
63293,0.5411981566820276
63294,0.19706840390879476
63295,0.05763587016483152
63296,0.16635965922173612
63297,0.07656503544282177
63299,0.22637441609773623
63300,0.036198166142055566
63301,0.8008936051382296
63302,0.089740131283158
63304,0.4431234801405026
63306,0
63307,0.02247451343836886
63309,0.4107744107744108
63310,0.7575757575757577
63311,0.2418223790234766
63312,0.3875
63314,0.7767639902676399
63315,0.1753393665158371
63317,0.007099161694736047
63318,1
63319,1
63320,0.33273588528997566
63321,0.1822509457755359
63322,0
63323,0.5727272727272726
63324,0.4320441988950276
63325,0.030093658836173806
63327,0.007081422018348624
63328,0.7458369851007888
63329,0.2762876809874199
63330,0.015876893014167077
63331,0.33928571428571425
63332,0.012686062246278754
63333,0.10481987991994664
63334,0.9784349969192853
63338,0.47730711043872914
63339,0.5516002612671457
63340,0.506338766561815
63341,0
63342,0
63343,0.9479465734614905
63344,0.2826969943135662
63345,0.28102189781021897
63347,0.04437093646629406
63348,0.4512123004139562
63349,0.2198252321135991
63350,0.037562259390564845
63351,0
63352,0.011477714380219963
63353,0
63354,0.24269892544004218
63355,1
63356,0.18050417865461024
63357,0.18505545826036193
63358,0.845442536327609
63359,0.30168776371308015
63360,0.503350220624285
63362,0.014780783099068903
63363,0.3464128163454841
63364,0
63365,0.26057730328192963
63366,0.5267060178520012
63367,0.9278008298755186
63368,0.08255592870977486
63369,0.32066529553787
63370,0.06278026905829596
63371,0.8058091286307054
63372,0.025140485187868343
63373,0.24894915254237288
63375,0.12595624748355924
63376,0.7835455435847208
63377,0.5200942840306423
63378,0.27703149086104384
63379,0.1712155776437999
63380,0.4331689592525305
63381,0.2271844660194175
63382,0.42639593908629436
63385,0.21331828442437925
63387,0.1636498884205306
63388,0.3434559452523524
63389,1
63390,0
63391,0.430984555984556
63392,0.1421095834188385
63393,0.4835443037974684
63394,1
63395,0.14271298832348278
63396,0.2864393622738401
63398,0.7890818858560793
63399,0.8955067920585162
63400,0.131068524970964
63402,0.9769119769119771
63403,0.28964110929853176
63404,0.24119417074753668
63405,0.05525846702317291
63406,0.010331664723765113
63408,0
63410,0.8379658875552747
63411,0.033903087962589694
63412,0.6020228263895332
63413,0.06281808570796352
63414,0.6252158894645942
63415,0.7303230634900835
63417,0.633587786259542
63418,0.7924588592426905
63419,0.3483260060872506
63420,0.010104058870875015
63422,0.0021489032731465707
63423,0.7016532103037293
63424,0.012323641481583193
63425,0.19647153167602247
63427,0.28753848940409343
63428,0.34784629687015806
63430,0.9107275230329344
63431,0
63432,0.035605797788175964
63433,0.7547076313181368
63434,0.9579826228617975
63435,0.060710760118460015
63436,0.46860080793242753
63438,0.4916060020799286
63439,0.16484716157205237
63442,0.6253846153846154
63443,0.045477884544854394
63444,0.07582718216073918
63445,0.017968364923600842
63446,0.02307214862059371
63447,0.4728564180618975
63448,0.7063664807509183
63449,0.3079710144927536
63450,0.5521640091116173
63453,6.284652877672724e-4
63455,0.026757208736634064
63456,0.017596153846153848
63457,0.02612206864419941
63458,0.014567008237894315
63459,0.09509914723106955
63460,0.3432280319535222
63461,0.24792008902548882
63462,0.443389199255121
63463,0.5992870622772071
63464,0.2795006041079339
63465,0.4603407217439091
63466,0.08607480847228481
63467,0.5715272978576365
63468,0.20454545454545456
63469,1
63470,0.4575936883629191
63471,0.8775654635527248
63472,0.1973125884016973
63473,0.009053597295992274
